   lamda     c0    c1      c2
  422.832981     2.91900E-03     9.09700E-06    -4.19800E-08
  422.922394     2.97100E-03     9.17500E-06    -4.29400E-08
  423.011844     3.02600E-03     9.25300E-06    -4.41100E-08
  423.101333     3.09400E-03     9.36200E-06    -4.51200E-08
  423.190859     3.16300E-03     9.47000E-06    -4.61900E-08
  423.280423     3.23200E-03     9.58200E-06    -4.71500E-08
  423.370025     3.30100E-03     9.69100E-06    -4.82200E-08
  423.459665     3.37000E-03     9.80000E-06    -4.92300E-08
  423.549343     3.43900E-03     9.91200E-06    -5.03200E-08
  423.639060     3.50800E-03     1.00300E-05    -5.12600E-08
  423.728814     3.57700E-03     1.01300E-05    -5.24100E-08
  423.818606     3.64600E-03     1.02500E-05    -5.34700E-08
  423.908436     3.71500E-03     1.03500E-05    -5.46800E-08
  423.998304     3.78200E-03     1.04600E-05    -5.52100E-08
  424.088210     3.85200E-03     1.05500E-05    -5.67100E-08
  424.178155     3.92200E-03     1.07300E-05    -5.66700E-08
  424.268137     3.99000E-03     1.08100E-05    -5.82000E-08
  424.358158     4.06000E-03     1.09800E-05    -5.83000E-08
  424.448217     4.13000E-03     1.10600E-05    -6.01000E-08
  424.538315     4.19800E-03     1.11800E-05    -6.06100E-08
  424.628450     4.26800E-03     1.13300E-05    -6.10900E-08
  424.718624     4.33600E-03     1.14400E-05    -6.16000E-08
  424.808836     4.40500E-03     1.15600E-05    -6.25800E-08
  424.899086     4.47500E-03     1.17100E-05    -6.30600E-08
  424.989375     4.54100E-03     1.18700E-05    -6.28300E-08
  425.079702     4.59000E-03     1.19800E-05    -6.39000E-08
  425.170068     4.63200E-03     1.21000E-05    -6.31500E-08
  425.260472     4.67600E-03     1.22500E-05    -6.37700E-08
  425.350915     4.71800E-03     1.23300E-05    -6.37700E-08
  425.441395     4.76300E-03     1.24800E-05    -6.50600E-08
  425.531915     4.80500E-03     1.26300E-05    -6.36700E-08
  425.622473     4.84800E-03     1.27500E-05    -6.49300E-08
  425.713069     4.89200E-03     1.29000E-05    -6.41400E-08
  425.803704     4.93400E-03     1.31000E-05    -6.33900E-08
  425.894378     4.97900E-03     1.31300E-05    -6.54400E-08
  425.985091     5.01900E-03     1.32900E-05    -6.46500E-08
  426.075841     5.03100E-03     1.34000E-05    -6.53000E-08
  426.166631     5.03100E-03     1.35200E-05    -6.45500E-08
  426.257460     5.03100E-03     1.36000E-05    -6.31500E-08
  426.348327     5.03400E-03     1.36700E-05    -6.37600E-08
  426.439232     5.03400E-03     1.37900E-05    -6.30000E-08
  426.530177     5.03600E-03     1.38700E-05    -6.22200E-08
  426.621160     5.03600E-03     1.39800E-05    -6.14600E-08
  426.712183     5.03700E-03     1.40600E-05    -6.14600E-08
  426.803244     5.03800E-03     1.41800E-05    -5.99100E-08
  426.894344     5.04000E-03     1.42200E-05    -6.13500E-08
  426.985482     5.03800E-03     1.42900E-05    -6.05600E-08
  427.076660     5.02000E-03     1.43300E-05    -6.12100E-08
  427.167877     4.99500E-03     1.44100E-05    -5.90100E-08
  427.259133     4.97000E-03     1.44200E-05    -5.96300E-08
  427.350427     4.94500E-03     1.43800E-05    -5.96500E-08
  427.441761     4.92100E-03     1.44600E-05    -5.88700E-08
  427.533134     4.89600E-03     1.44600E-05    -5.94800E-08
  427.624546     4.86900E-03     1.44600E-05    -5.80800E-08
  427.715997     4.84700E-03     1.45000E-05    -5.87200E-08
  427.807487     4.82200E-03     1.45000E-05    -5.93300E-08
  427.899016     4.79600E-03     1.45800E-05    -5.65300E-08
  427.990584     4.77100E-03     1.45800E-05    -5.71400E-08
  428.082192     4.75000E-03     1.45400E-05    -5.71700E-08
  428.173839     4.73100E-03     1.45400E-05    -5.71700E-08
  428.265525     4.71000E-03     1.45100E-05    -5.71900E-08
  428.357250     4.68900E-03     1.44300E-05    -5.79800E-08
  428.449015     4.66900E-03     1.43900E-05    -5.86300E-08
  428.540819     4.64900E-03     1.43900E-05    -5.80100E-08
  428.632662     4.62800E-03     1.43500E-05    -5.79000E-08
  428.724544     4.60900E-03     1.42700E-05    -5.93000E-08
  428.816467     4.58800E-03     1.43100E-05    -5.77900E-08
