    WLVAC         C0           C1           C2           BETA         RHO
 2.61900e+03  2.80841e+02 -1.15426e-02 -4.03093e-04  2.20650e+00  3.43907e-02
 2.62000e+03  2.81274e+02 -1.41553e-02 -3.78026e-04  2.20276e+00  3.43847e-02
 2.62100e+03  2.81438e+02 -1.09491e-02 -4.50220e-05  2.19903e+00  3.43787e-02
 2.62200e+03  2.82735e+02 -3.27141e-02 -2.54734e-04  2.19531e+00  3.43727e-02
 2.62300e+03  2.83657e+02 -3.16212e-02 -2.37368e-04  2.19160e+00  3.43667e-02
 2.62400e+03  2.84935e+02 -3.82563e-02 -4.68257e-04  2.18789e+00  3.43607e-02
 2.62500e+03  2.84918e+02 -3.74659e-02 -8.06304e-04  2.18419e+00  3.43547e-02
 2.62600e+03  2.83523e+02 -3.69243e-02 -4.55936e-04  2.18049e+00  3.43487e-02
 2.62700e+03  2.81564e+02 -1.75547e-02 -7.04980e-04  2.17681e+00  3.43427e-02
 2.62800e+03  2.79541e+02 -1.84842e-02 -9.37525e-04  2.17314e+00  3.43367e-02
 2.62900e+03  2.76742e+02 -5.03535e-03 -9.83342e-04  2.16947e+00  3.43307e-02
 2.63000e+03  2.73126e+02  7.49272e-03 -8.66760e-04  2.16581e+00  3.43247e-02
 2.63100e+03  2.70701e+02  8.76744e-03 -9.07755e-04  2.16216e+00  3.43187e-02
 2.63200e+03  2.68587e+02  1.12624e-02 -7.75801e-04  2.15852e+00  3.43127e-02
 2.63300e+03  2.67058e+02  1.95511e-02 -6.89891e-04  2.15488e+00  3.43067e-02
 2.63400e+03  2.65500e+02  1.38162e-02 -4.18139e-04  2.15124e+00  3.43007e-02
 2.63500e+03  2.64756e+02  1.73078e-02 -4.53964e-04  2.14762e+00  3.42947e-02
 2.63600e+03  2.65173e+02 -1.96288e-02 -1.18384e-03  2.14400e+00  3.42887e-02
 2.63700e+03  2.65253e+02 -1.06602e-02 -5.75161e-04  2.14039e+00  3.42827e-02
 2.63800e+03  2.66050e+02 -2.60035e-02 -8.01784e-04  2.13679e+00  3.42767e-02
 2.63900e+03  2.66520e+02 -3.31958e-02 -6.06455e-04  2.13320e+00  3.42707e-02
 2.64000e+03  2.67697e+02 -5.22770e-02 -8.50387e-04  2.12961e+00  3.42647e-02
 2.64100e+03  2.68158e+02 -3.93830e-02 -4.28733e-04  2.12603e+00  3.42587e-02
 2.64200e+03  2.69188e+02 -2.99251e-02 -2.82434e-04  2.12246e+00  3.42527e-02
 2.64300e+03  2.69770e+02 -4.91516e-02 -7.45450e-04  2.11890e+00  3.42467e-02
 2.64400e+03  2.70178e+02 -4.78624e-02 -8.66212e-04  2.11535e+00  3.42407e-02
 2.64500e+03  2.69449e+02 -4.71005e-02 -8.39817e-04  2.11180e+00  3.42347e-02
 2.64600e+03  2.68222e+02 -2.56271e-02 -5.96299e-04  2.10825e+00  3.42287e-02
