96	9600	225.75	280.958
97	9700	225.1	276.732
98	9800	224.45	272.558
99	9900	223.8	268.435
100	10000	223.15	264.363
101	10100	222.5	260.34
102	10200	221.85	256.368
103	10300	221.2	252.445
104	10400	220.55	248.57
105	10500	219.9	244.744
106	10600	219.25	240.965
107	10700	218.6	237.234
108	10800	217.95	233.55
109	10900	217.3	229.912
110	11000	216.65	226.321
111	11100	216.65	222.78
112	11200	216.65	219.294
113	11300	216.65	215.863
114	11400	216.65	212.486
115	11500	216.65	209.162
116	11600	216.65	205.89
117	11700	216.65	202.668
118	11800	216.65	199.498
119	11900	216.65	196.376
120	12000	216.65	193.304
121	12100	216.65	190.28
122	12200	216.65	187.303
123	12300	216.65	184.372
124	12400	216.65	181.488
125	12500	216.65	178.648
126	12600	216.65	175.854
127	12700	216.65	173.102
128	12800	216.65	170.394
129	12900	216.65	167.728
130	13000	216.65	165.104
131	13100	216.65	162.521
132	13200	216.65	159.978
133	13300	216.65	157.475
134	13400	216.65	155.012
135	13500	216.65	152.587
136	13600	216.65	150.199
137	13700	216.65	147.849
138	13800	216.65	145.536
139	13900	216.65	143.259
140	14000	216.65	141.018
141	14100	216.65	138.812
142	14200	216.65	136.64
143	14300	216.65	134.502
144	14400	216.65	132.398
145	14500	216.65	130.327
146	14600	216.65	128.288
147	14700	216.65	126.281
148	14800	216.65	124.305
149	14900	216.65	122.36
150	15000	216.65	120.446
151	15100	216.65	118.561
152	15200	216.65	116.706
153	15300	216.65	114.881
154	15400	216.65	113.083
155	15500	216.65	111.314
156	15600	216.65	109.572
157	15700	216.65	107.858
158	15800	216.65	106.171
159	15900	216.65	104.51
160	16000	216.65	102.875
161	16100	216.65	101.265
162	16200	216.65	99.6808
163	16300	216.65	98.1213
164	16400	216.65	96.5861
165	16500	216.65	95.075
166	16600	216.65	93.5876
167	16700	216.65	92.1234
168	16800	216.65	90.6821
169	16900	216.65	89.2634
170	17000	216.65	87.8668
171	17100	216.65	86.4921
172	17200	216.65	85.1389
173	17300	216.65	83.8069
174	17400	216.65	82.4958
175	17500	216.65	81.2051
176	17600	216.65	79.9346
177	17700	216.65	78.684
178	17800	216.65	77.453
179	17900	216.65	76.2413
180	18000	216.65	75.0484
181	18100	216.65	73.8743
182	18200	216.65	72.7185
183	18300	216.65	71.5808
184	18400	216.65	70.4609
185	18500	216.65	69.3586
186	18600	216.65	68.2734
187	18700	216.65	67.2053
188	18800	216.65	66.1539
189	18900	216.65	65.1189
190	19000	216.65	64.1001
191	19100	216.65	63.0972
192	19200	216.65	62.11
193	19300	216.65	61.1383
194	19400	216.65	60.1818
195	19500	216.65	59.2403
196	19600	216.65	58.3134
197	19700	216.65	57.4011
198	19800	216.65	56.5031
199	19900	216.65	55.6191
200	20000	216.65	54.7489
201	20100	216.75	53.8925
202	20200	216.85	53.0499
203	20300	216.95	52.2209
204	20400	217.05	51.4052
205	20500	217.15	50.6026
206	20600	217.25	49.8129
207	20700	217.35	49.0359
208	20800	217.45	48.2714
209	20900	217.55	47.5191
210	21000	217.65	46.7789
211	21100	217.75	46.0505
212	21200	217.85	45.3338
213	21300	217.95	44.6286
214	21400	218.05	43.9347
215	21500	218.15	43.2518
216	21600	218.25	42.5799
217	21700	218.35	41.9187
218	21800	218.45	41.2681
219	21900	218.55	40.6279
220	22000	218.65	39.9979
221	22100	218.75	39.3779
222	22200	218.85	38.7679
223	22300	218.95	38.1675
224	22400	219.05	37.5768
225	22500	219.15	36.9954
226	22600	219.25	36.4233
227	22700	219.35	35.8603
228	22800	219.45	35.3062
